ReviewDate,CocoaPercent,CompanyLoc,Rating,Grade
2011,0.72,Belgium,4,Excellent
2011,0.72,Belgium,3.75,Satisfactory
2012,0.55,France,2.75,Below Average
2011,0.64,Switzerland,3,Satisfactory
2011,0.88,Switzerland,3,Satisfactory
2011,0.72,Switzerland,3.5,Satisfactory
2011,0.72,Switzerland,4,Excellent
2010,0.7,Switzerland,3.25,Satisfactory
2010,0.74,Switzerland,3.25,Satisfactory
2010,0.64,Switzerland,3.5,Satisfactory
2010,0.72,Switzerland,3.5,Satisfactory
2015,0.76,U.S.A.,2.5,Below Average
2015,0.76,U.S.A.,2.5,Below Average
2015,0.78,U.S.A.,2.5,Below Average
2015,0.86,U.S.A.,3.25,Satisfactory
2012,0.72,U.S.A.,3.5,Satisfactory
2010,0.75,U.S.A.,3.25,Satisfactory
2010,0.7,U.S.A.,3.75,Satisfactory
2010,0.65,U.S.A.,2.75,Below Average
2010,0.7,U.S.A.,3,Satisfactory
2010,0.78,U.S.A.,3,Satisfactory
2009,0.75,U.S.A.,3,Satisfactory
2009,0.65,U.S.A.,3.5,Satisfactory
2009,0.75,U.S.A.,3.25,Satisfactory
2009,0.65,U.S.A.,3.5,Satisfactory
2008,0.71,U.S.A.,3,Satisfactory
2008,0.75,U.S.A.,3.5,Satisfactory
2008,0.68,U.S.A.,3.75,Satisfactory
2008,0.7,U.S.A.,3,Satisfactory
2008,0.7,U.S.A.,2.75,Below Average
2008,0.7,U.S.A.,2.75,Below Average
2008,0.7,U.S.A.,3,Satisfactory
2014,0.7,U.K.,2.75,Below Average
2013,0.82,Spain,3.5,Satisfactory
2009,0.72,Spain,2.75,Below Average
2016,0.82,U.S.A.,3.5,Satisfactory
2016,0.75,U.S.A.,2.75,Below Average
2016,0.75,U.S.A.,3.5,Satisfactory
2016,0.75,U.S.A.,3,Satisfactory
2012,0.7,U.S.A.,3.5,Satisfactory
2012,0.7,U.S.A.,3.75,Satisfactory
2016,0.75,France,3.5,Satisfactory
2014,0.75,France,4,Excellent
2014,0.75,France,3.25,Satisfactory
2014,0.65,France,3.75,Satisfactory
2013,0.75,France,3.5,Satisfactory
2013,0.75,France,3.25,Satisfactory
2011,0.75,France,3.5,Satisfactory
2011,0.75,France,3.5,Satisfactory
2011,0.75,France,3.5,Satisfactory
2011,0.75,France,3.75,Satisfactory
2011,0.75,France,4,Excellent
2011,0.75,France,4,Excellent
2011,0.75,France,3.5,Satisfactory
2011,0.75,France,3.25,Satisfactory
2009,0.75,France,3,Satisfactory
2009,0.75,France,2.75,Below Average
2009,0.75,France,3,Satisfactory
2009,0.75,France,3,Satisfactory
2008,0.75,France,4,Excellent
2007,0.75,France,2.5,Below Average
2006,0.75,France,3.75,Satisfactory
2006,0.75,France,4,Excellent
2006,0.75,France,4,Excellent
2006,0.75,France,4,Excellent
2006,1,France,1.5,Poor
2006,0.75,France,3,Satisfactory
2006,0.75,France,4,Excellent
2009,0.77,Ecuador,3.25,Satisfactory
2009,1,Ecuador,1.5,Poor
2014,0.7,U.S.A.,2.75,Below Average
2014,0.7,U.S.A.,2.75,Below Average
2016,0.7,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,3.75,Satisfactory
2015,0.68,U.S.A.,3.75,Satisfactory
2014,0.7,U.S.A.,3.75,Satisfactory
2014,0.7,U.S.A.,4,Excellent
2013,0.72,U.S.A.,3,Satisfactory
2013,0.7,U.S.A.,3.25,Satisfactory
2013,0.75,U.S.A.,3.5,Satisfactory
2013,0.85,U.S.A.,3.5,Satisfactory
2015,0.6,U.S.A.,3,Satisfactory
2015,0.8,U.S.A.,3.25,Satisfactory
2015,0.7,U.S.A.,3.5,Satisfactory
2015,0.8,U.S.A.,2.75,Below Average
2015,0.8,U.S.A.,3.25,Satisfactory
2015,0.6,U.S.A.,3.25,Satisfactory
2013,0.7,U.S.A.,3,Satisfactory
2014,0.72,Australia,3,Satisfactory
2014,0.7,Australia,3.5,Satisfactory
2014,0.72,Australia,3.5,Satisfactory
2014,0.68,Australia,2.75,Below Average
2015,0.7,Russia,3.25,Satisfactory
2013,0.68,U.S.A.,2.75,Below Average
2014,0.72,U.S.A.,3.25,Satisfactory
2014,0.72,U.S.A.,3.5,Satisfactory
2014,0.72,U.S.A.,3.25,Satisfactory
2014,0.72,U.S.A.,3.25,Satisfactory
2014,0.6,U.S.A.,2.5,Below Average
2015,0.7,Puerto Rico,2.5,Below Average
2014,0.75,U.S.A.,2.5,Below Average
2010,0.75,U.S.A.,2.5,Below Average
2010,0.75,U.S.A.,2.75,Below Average
2010,0.75,U.S.A.,2.25,Below Average
2016,0.65,France,3.5,Satisfactory
2010,0.7,France,3,Satisfactory
2008,0.75,France,2,Below Average
2007,0.72,France,2,Below Average
2007,0.66,France,3,Satisfactory
2015,0.77,Venezuela,3.5,Satisfactory
2015,0.75,Venezuela,3.25,Satisfactory
2014,0.75,Venezuela,2.5,Below Average
2014,0.74,Venezuela,3.25,Satisfactory
2014,0.75,Venezuela,3.5,Satisfactory
2014,0.7,Venezuela,3.75,Satisfactory
2015,0.74,Venezuela,3.25,Satisfactory
2016,0.71,Colombia,3.75,Satisfactory
2016,0.74,Colombia,3.75,Satisfactory
2015,0.72,Colombia,3.75,Satisfactory
2014,0.64,Colombia,3.5,Satisfactory
2014,0.7,Colombia,3.5,Satisfactory
2014,0.69,Colombia,2.75,Below Average
2014,0.7,Colombia,3.25,Satisfactory
2016,0.7,U.S.A.,3.5,Satisfactory
2012,0.72,U.S.A.,3.75,Satisfactory
2011,0.72,U.S.A.,3,Satisfactory
2011,0.66,U.S.A.,3.75,Satisfactory
2011,0.65,U.S.A.,3.25,Satisfactory
2016,0.7,Spain,3.5,Satisfactory
2010,0.71,Spain,3.5,Satisfactory
2010,0.71,Spain,3.75,Satisfactory
2010,0.71,Spain,4,Excellent
2010,0.71,Spain,3.25,Satisfactory
2010,0.71,Spain,3.5,Satisfactory
2010,0.77,Spain,3.5,Satisfactory
2009,0.7,Spain,4,Excellent
2009,0.7,Spain,4,Excellent
2015,0.7,Japan,3,Satisfactory
2015,0.7,Japan,3.25,Satisfactory
2015,0.7,Japan,3.5,Satisfactory
2013,0.7,Peru,3.25,Satisfactory
2008,0.63,Ecuador,3.5,Satisfactory
2008,0.71,Ecuador,3.5,Satisfactory
2008,0.82,Ecuador,2.5,Below Average
2008,0.91,Ecuador,1.5,Poor
2008,0.6,Belgium,2.75,Below Average
2007,0.7,Belgium,1,Poor
2014,0.75,Italy,2.5,Below Average
2014,0.72,Italy,3,Satisfactory
2014,0.7,Italy,3.5,Satisfactory
2013,1,Italy,3.5,Satisfactory
2012,0.8,Italy,3,Satisfactory
2011,0.78,Italy,2.25,Below Average
2011,0.7,Italy,2.5,Below Average
2016,0.75,U.S.A.,2.5,Below Average
2016,0.73,U.S.A.,2.75,Below Average
2016,0.7,U.S.A.,3,Satisfactory
2016,0.75,U.S.A.,3,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2008,0.77,Ecuador,2,Below Average
2008,0.77,Ecuador,2.5,Below Average
2008,0.77,Ecuador,2.75,Below Average
2008,0.55,Ecuador,3,Satisfactory
2008,0.55,Ecuador,3.25,Satisfactory
2008,0.55,Ecuador,3.5,Satisfactory
2014,0.7,New Zealand,3.5,Satisfactory
2014,0.7,New Zealand,3.75,Satisfactory
2015,0.72,Costa Rica,3.5,Satisfactory
2015,0.72,Costa Rica,3.25,Satisfactory
2015,0.72,Costa Rica,3.5,Satisfactory
2012,0.72,Costa Rica,3,Satisfactory
2012,0.8,Costa Rica,2.75,Below Average
2016,0.65,Colombia,3,Satisfactory
2016,0.65,Colombia,3.25,Satisfactory
2016,0.65,Colombia,3.25,Satisfactory
2016,0.65,Colombia,3.5,Satisfactory
2016,0.65,Colombia,3.5,Satisfactory
2016,0.72,U.S.A.,4,Excellent
2015,0.72,U.S.A.,3.5,Satisfactory
2015,0.7,U.S.A.,3.75,Satisfactory
2015,0.72,U.S.A.,3.5,Satisfactory
2014,0.72,U.S.A.,3.5,Satisfactory
2014,0.76,U.S.A.,3.5,Satisfactory
2014,0.7,U.S.A.,2.75,Below Average
2013,0.7,U.S.A.,3,Satisfactory
2013,0.73,U.S.A.,3.5,Satisfactory
2013,0.7,U.S.A.,2.5,Below Average
2013,0.7,U.S.A.,3.25,Satisfactory
2013,0.72,U.S.A.,3.25,Satisfactory
2013,0.7,U.S.A.,2.75,Below Average
2013,0.72,U.S.A.,3,Satisfactory
2014,0.7,U.S.A.,2.5,Below Average
2014,0.7,U.S.A.,2.75,Below Average
2014,0.7,U.S.A.,2.75,Below Average
2014,0.7,U.S.A.,3,Satisfactory
2009,0.72,France,2.75,Below Average
2014,0.7,Canada,2.75,Below Average
2016,0.7,U.S.A.,3.25,Satisfactory
2010,0.55,Ecuador,2.75,Below Average
2008,0.75,Ecuador,3,Satisfactory
2014,0.7,U.S.A.,3.5,Satisfactory
2011,0.7,France,3.5,Satisfactory
2015,0.7,U.K.,3.25,Satisfactory
2014,0.75,Germany,3,Satisfactory
2014,0.82,Germany,3.25,Satisfactory
2015,0.7,South Korea,2.75,Below Average
2015,0.7,South Korea,3.5,Satisfactory
2015,0.65,U.K.,2.5,Below Average
2015,0.65,U.K.,2.75,Below Average
2015,0.8,U.K.,2.5,Below Average
2011,0.7,U.S.A.,3.75,Satisfactory
2011,0.68,U.S.A.,3.75,Satisfactory
2016,0.9,U.S.A.,2.5,Below Average
2016,0.8,U.S.A.,2.5,Below Average
2016,0.7,U.S.A.,2.5,Below Average
2016,0.7,U.S.A.,2.75,Below Average
2016,0.6,U.S.A.,3,Satisfactory
2016,0.75,U.S.A.,3,Satisfactory
2016,0.8,U.S.A.,3,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2016,0.8,U.S.A.,2.75,Below Average
2014,0.74,U.S.A.,2.75,Below Average
2015,0.75,Amsterdam,3.25,Satisfactory
2015,0.68,Amsterdam,3.5,Satisfactory
2015,0.8,Amsterdam,3.75,Satisfactory
2015,0.69,Scotland,3.75,Satisfactory
2015,0.8,Scotland,3.75,Satisfactory
2013,0.7,Scotland,3.75,Satisfactory
2012,0.82,Scotland,2.5,Below Average
2012,0.68,Scotland,2.75,Below Average
2012,0.72,Scotland,3.25,Satisfactory
2014,0.7,Canada,2.5,Below Average
2015,0.77,Japan,3,Satisfactory
2011,0.65,Canada,3.25,Satisfactory
2010,0.71,Spain,3.25,Satisfactory
2010,0.71,Spain,3.5,Satisfactory
2009,0.6,Spain,3.25,Satisfactory
2009,0.75,Spain,3.25,Satisfactory
2008,0.71,Spain,3.5,Satisfactory
2007,0.71,Spain,2.5,Below Average
2007,0.71,Spain,2.5,Below Average
2007,0.7,Spain,3,Satisfactory
2015,0.65,U.S.A.,2.5,Below Average
2015,0.75,U.S.A.,2.5,Below Average
2009,0.8,Canada,2.5,Below Average
2009,0.7,Canada,2.75,Below Average
2009,0.7,Canada,3,Satisfactory
2009,0.8,Canada,3,Satisfactory
2009,0.7,Canada,3,Satisfactory
2013,0.42,Martinique,2.75,Below Average
2016,0.75,Canada,3.25,Satisfactory
2011,0.68,Canada,3.75,Satisfactory
2009,0.61,U.S.A.,3,Satisfactory
2010,0.77,U.S.A.,2.75,Below Average
2010,0.74,Sao Tome,3.75,Satisfactory
2008,0.8,Sao Tome,3,Satisfactory
2008,0.75,Sao Tome,4,Excellent
2008,1,Sao Tome,1,Poor
2015,0.73,U.S.A.,3.5,Satisfactory
2015,0.75,U.S.A.,3,Satisfactory
2010,0.7,Argentina,3.25,Satisfactory
2008,0.8,Argentina,2.75,Below Average
2008,0.72,Argentina,3.25,Satisfactory
2008,0.7,Argentina,3.75,Satisfactory
2008,0.88,Argentina,2.75,Below Average
2015,0.76,U.S.A.,3.5,Satisfactory
2016,0.78,U.S.A.,2.75,Below Average
2013,0.65,Germany,3.25,Satisfactory
2012,0.85,Germany,3.5,Satisfactory
2012,1,Germany,1.5,Poor
2012,0.72,Germany,3.75,Satisfactory
2012,0.7,Germany,3.5,Satisfactory
2010,0.72,Germany,3.25,Satisfactory
2010,0.7,Germany,3,Satisfactory
2010,0.72,Germany,2.5,Below Average
2010,0.72,Germany,3,Satisfactory
2010,0.72,Germany,3.25,Satisfactory
2010,0.72,Germany,3.25,Satisfactory
2009,0.72,Germany,3,Satisfactory
2009,0.62,Germany,3.25,Satisfactory
2009,0.7,Germany,3.5,Satisfactory
2009,0.7,Germany,3.75,Satisfactory
2008,0.72,Germany,3,Satisfactory
2008,0.72,Germany,3,Satisfactory
2007,0.72,Germany,3,Satisfactory
2006,0.7,Belgium,1,Poor
2014,0.7,Australia,2.5,Below Average
2014,0.83,Australia,2.75,Below Average
2012,0.75,Australia,3.25,Satisfactory
2012,0.65,Australia,3.25,Satisfactory
2012,0.67,Australia,3.25,Satisfactory
2012,0.64,Australia,3.25,Satisfactory
2012,0.75,Australia,3.5,Satisfactory
2016,0.85,U.S.A.,3.25,Satisfactory
2016,0.73,U.S.A.,3.75,Satisfactory
2015,0.7,Australia,2.75,Below Average
2011,0.7,Australia,3.25,Satisfactory
2017,0.72,U.S.A.,2.75,Below Average
2015,0.7,U.K.,3,Satisfactory
2015,0.7,U.K.,3.5,Satisfactory
2015,0.7,U.K.,2.25,Below Average
2015,0.7,U.K.,2.75,Below Average
2016,0.7,U.S.A.,3.75,Satisfactory
2015,0.7,U.S.A.,3,Satisfactory
2014,0.7,U.S.A.,3.5,Satisfactory
2014,0.7,U.S.A.,3.5,Satisfactory
2014,0.7,U.S.A.,2.75,Below Average
2014,0.7,U.S.A.,3.75,Satisfactory
2013,0.7,U.S.A.,2.75,Below Average
2013,0.7,U.S.A.,3.25,Satisfactory
2013,0.7,U.S.A.,3.5,Satisfactory
2013,0.7,U.S.A.,3.5,Satisfactory
2012,0.7,U.S.A.,3,Satisfactory
2012,0.7,U.S.A.,3.25,Satisfactory
2012,0.7,U.S.A.,3.75,Satisfactory
2011,0.7,U.S.A.,3.25,Satisfactory
2011,0.7,U.S.A.,3.25,Satisfactory
2011,0.7,U.S.A.,3.25,Satisfactory
2014,0.82,Guatemala,3.25,Satisfactory
2012,0.75,Guatemala,3,Satisfactory
2012,0.7,Guatemala,3.75,Satisfactory
2012,0.7,Guatemala,3.75,Satisfactory
2012,0.7,Guatemala,4,Excellent
2012,0.7,Guatemala,3.25,Satisfactory
2011,0.6,Guatemala,3.5,Satisfactory
2009,0.75,Guatemala,3,Satisfactory
2009,0.6,Guatemala,3.25,Satisfactory
2016,0.72,U.S.A.,2.75,Below Average
2016,0.72,U.S.A.,3,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2016,0.75,U.S.A.,3.25,Satisfactory
2015,0.7,U.S.A.,3,Satisfactory
2015,0.7,U.S.A.,3.25,Satisfactory
2015,0.7,U.S.A.,3,Satisfactory
2015,0.7,U.S.A.,3.25,Satisfactory
2013,0.7,U.S.A.,2.5,Below Average
2013,0.7,U.S.A.,2.75,Below Average
2013,0.7,U.S.A.,2.75,Below Average
2012,0.58,U.S.A.,3.25,Satisfactory
2015,0.72,Brazil,3.5,Satisfactory
2015,0.65,Brazil,3.5,Satisfactory
2016,0.7,South Africa,2.5,Below Average
2016,0.7,South Africa,3,Satisfactory
2007,0.66,U.S.A.,2.5,Below Average
2007,0.64,U.S.A.,3,Satisfactory
2007,0.71,U.S.A.,3,Satisfactory
2007,0.6,U.S.A.,3,Satisfactory
2007,0.64,U.S.A.,3,Satisfactory
2007,0.64,U.S.A.,3,Satisfactory
2009,0.64,France,3,Satisfactory
2008,0.66,France,3.75,Satisfactory
2016,0.72,Canada,2.5,Below Average
2008,0.8,U.S.A.,2.75,Below Average
2007,0.77,U.S.A.,3.5,Satisfactory
2007,0.77,U.S.A.,3.5,Satisfactory
2017,0.7,U.S.A.,3.75,Satisfactory
2016,0.78,U.S.A.,3.5,Satisfactory
2015,0.7,U.S.A.,3.75,Satisfactory
2014,0.74,U.S.A.,3.5,Satisfactory
2013,0.7,U.S.A.,3.25,Satisfactory
2013,0.76,U.S.A.,3.5,Satisfactory
2012,0.75,U.S.A.,2.75,Below Average
2012,0.72,U.S.A.,2.75,Below Average
2011,0.8,U.S.A.,2.75,Below Average
2011,0.72,U.S.A.,3,Satisfactory
2011,0.75,U.S.A.,2.75,Below Average
2011,0.74,U.S.A.,3,Satisfactory
2011,0.7,U.S.A.,3.25,Satisfactory
2015,0.85,U.K.,3,Satisfactory
2014,0.72,U.K.,3.25,Satisfactory
2014,0.72,U.K.,3.25,Satisfactory
2014,0.72,U.K.,3.5,Satisfactory
2009,0.7,U.S.A.,3.75,Satisfactory
2008,0.88,Belgium,3,Satisfactory
2006,0.7,Belgium,1.5,Poor
2015,0.7,Italy,3.75,Satisfactory
2015,0.7,Italy,3.75,Satisfactory
2013,1,Italy,3,Satisfactory
2012,0.7,Italy,3.5,Satisfactory
2012,0.7,Italy,3.75,Satisfactory
2011,0.7,Italy,3.5,Satisfactory
2010,0.7,Italy,3,Satisfactory
2008,0.7,Italy,3,Satisfactory
2008,0.7,Italy,3,Satisfactory
2008,0.78,Italy,3.5,Satisfactory
2008,0.7,Italy,3.75,Satisfactory
2007,0.7,Italy,4,Excellent
2007,0.75,Italy,3.25,Satisfactory
2007,0.6,Italy,3.25,Satisfactory
2007,0.7,Italy,3.5,Satisfactory
2007,0.7,Italy,3.5,Satisfactory
2007,0.7,Italy,3.75,Satisfactory
2007,0.7,Italy,4,Excellent
2007,0.7,Italy,4,Excellent
2006,0.7,Italy,3,Satisfactory
2006,0.7,Italy,3.25,Satisfactory
2006,0.7,Italy,3.5,Satisfactory
2016,0.75,U.K.,2.75,Below Average
2015,0.7,U.K.,2.5,Below Average
2015,0.8,U.K.,2.75,Below Average
2015,0.77,U.K.,2.75,Below Average
2015,0.7,U.K.,4,Excellent
2014,0.7,U.K.,3.5,Satisfactory
2014,0.76,U.K.,3.75,Satisfactory
2012,0.72,U.K.,3.75,Satisfactory
2011,0.72,U.K.,3.75,Satisfactory
2011,0.65,U.K.,3.5,Satisfactory
2011,0.72,U.K.,3,Satisfactory
2011,0.71,U.K.,3.25,Satisfactory
2011,0.71,U.K.,3.5,Satisfactory
2010,0.7,U.K.,3.5,Satisfactory
2010,0.72,U.K.,3.75,Satisfactory
2010,0.7,U.K.,2.5,Below Average
2010,0.7,U.K.,3.75,Satisfactory
2015,0.7,U.S.A.,3.25,Satisfactory
2012,0.82,France,2.75,Below Average
2015,0.7,U.S.A.,3.5,Satisfactory
2015,0.7,U.S.A.,3.5,Satisfactory
2015,0.7,U.S.A.,3.25,Satisfactory
2015,0.7,U.S.A.,3.25,Satisfactory
2015,0.7,U.S.A.,4,Excellent
2014,0.7,Canada,3.25,Satisfactory
2014,0.7,Canada,3.5,Satisfactory
2014,0.7,Canada,3.75,Satisfactory
2016,0.7,Canada,3.25,Satisfactory
2016,0.7,Canada,3.25,Satisfactory
2012,0.72,U.S.A.,2.75,Below Average
2016,0.68,Germany,3,Satisfactory
2011,0.75,Bolivia,3.75,Satisfactory
2008,0.71,Bolivia,2.75,Below Average
2015,0.7,Venezuela,3.75,Satisfactory
2009,0.61,Venezuela,2.75,Below Average
2009,0.7,Venezuela,3,Satisfactory
2008,0.74,Venezuela,2.5,Below Average
2008,0.58,Venezuela,2.5,Below Average
2008,0.61,Venezuela,3,Satisfactory
2006,0.7,Venezuela,2.75,Below Average
2013,0.6,St. Lucia,2.75,Below Average
2013,0.7,St. Lucia,3.25,Satisfactory
2015,0.79,Japan,3,Satisfactory
2015,0.78,Japan,3.5,Satisfactory
2016,0.75,U.S.A.,3.25,Satisfactory
2010,0.8,Spain,3.25,Satisfactory
2014,0.7,France,3.25,Satisfactory
2014,0.8,France,3,Satisfactory
2014,0.74,France,3.25,Satisfactory
2012,0.7,U.S.A.,2.75,Below Average
2009,0.65,U.S.A.,2,Below Average
